The usage of ZAI and ZHENGZAI in the periods during the Yuan Dynasty and the Ming Dynasty ,,,
Verbs,Time,ZAI,ZHENGZAI
追论这班奸臣的亲族,the Ming Dynasty,0,1
追忆寻索,the Ming Dynasty,0,1
作难,the Ming Dynasty,0,2
作笑,the Ming Dynasty,0,1
坐朝,the Ming Dynasty,0,1
坐殿,the Ming Dynasty,0,1
议争,the Ming Dynasty,0,1
备敌,the Ming Dynasty,0,1
悬念,the Ming Dynasty,0,1
肚饥,the Ming Dynasty,0,1
唧唧哝哝,the Ming Dynasty,0,1
凝思,the Ming Dynasty,0,1
忿恨,the Ming Dynasty,0,1
忧惶,the Ming Dynasty,0,1
恼你,the Ming Dynasty,0,1
拘执喧闹,the Ming Dynasty,0,1
说话,the Ming Dynasty,0,1
沉呤,the Ming Dynasty,0,1
分别,the Ming Dynasty,0,1
嚎啕大哭,the Ming Dynasty,0,1
心慌,the Ming Dynasty,0,1
禁架不定,the Ming Dynasty,0,1
挂心,the Ming Dynasty,0,1
眼花撩乱,the Ming Dynasty,0,1
含颦,the Ming Dynasty,0,1
睡醒翻身,the Ming Dynasty,0,1
设朝,the Ming Dynasty,0,1
云雨,the Ming Dynasty,0,1
梦寐,the Ming Dynasty,0,1
整酒做戏还愿,the Ming Dynasty,0,1
烦烦,the Ming Dynasty,0,1
招募豪杰,the Ming Dynasty,0,1
忧疑,the Ming Dynasty,0,1
慌速,the Ming Dynasty,0,1
要换,the Ming Dynasty,0,1
严限缉拿,the Ming Dynasty,0,1
抱屈无伸,the Ming Dynasty,0,1
发极,the Ming Dynasty,0,1
攻城,the Ming Dynasty,0,1
缺乏,the Ming Dynasty,0,1
收拾,the Ming Dynasty,0,1
叵測,the Ming Dynasty,0,1
讲究,the Ming Dynasty,0,1
奉旨,the Ming Dynasty,0,1
察照历臣原题,the Ming Dynasty,0,1
消弱,the Ming Dynasty,0,1
无所用意,the Ming Dynasty,0,1
用力,the Ming Dynasty,0,1
敬承天命以从事,the Ming Dynasty,0,1
望,the Ming Dynasty,0,2
核议,the Ming Dynasty,0,1
驰注,the Ming Dynasty,0,1
启行,the Ming Dynasty,0,1
沉病,the Ming Dynasty,0,1
懈弛,the Ming Dynasty,0,1
统兵行事,the Ming Dynasty,0,1
措置,the Ming Dynasty,0,1
号啕大哭,the Ming Dynasty,0,1
惊骇,the Ming Dynasty,0,1
叙阔,the Ming Dynasty,0,1
靠着水寨，正要动手,the Ming Dynasty,0,1
看这个宝贝,the Ming Dynasty,0,1
朝着太阳来晃也晃,the Ming Dynasty,0,1
怒发冲冠，势如破竹，走发了性子,the Ming Dynasty,0,1
张口,the Ming Dynasty,0,1
死战,the Ming Dynasty,0,1
谓千骑曰,the Ming Dynasty,0,1
出丧,the Ming Dynasty,0,1
安排一切,the Qing Dynasty,0,1
安营,the Qing Dynasty,0,1
暗恨,the Qing Dynasty,0,1
暗欢喜,the Qing Dynasty,0,1
暗惊,the Qing Dynasty,0,1
暗说,the Qing Dynasty,0,1
暗想,the Qing Dynasty,0,7
暗祝,the Qing Dynasty,0,1
懊悔嘲笑,the Qing Dynasty,0,1
懊恼,the Qing Dynasty,0,1
拔队出宫,the Qing Dynasty,0,1
拔开伽楠匣,the Qing Dynasty,0,1
把些乱草揩着,the Qing Dynasty,0,1
摆酒,the Qing Dynasty,0,1
摆着双台,the Qing Dynasty,0,1
拜着,the Qing Dynasty,0,2
办撤任的折子,the Qing Dynasty,0,1
办着大关,the Qing Dynasty,0,1
半疑半信,the Qing Dynasty,0,1
抱怨,the Qing Dynasty,0,1
抱怨邓九公啰嗦多事,the Qing Dynasty,0,1
抱怨邓九公罗嗦多事,the Qing Dynasty,0,1
暴跳如雷,the Qing Dynasty,0,1
悲苦,the Qing Dynasty,0,1
悲泣,the Qing Dynasty,0,1
悲切,the Qing Dynasty,0,1
悲伤,the Qing Dynasty,0,4
